reference_number,asmeth,price,product_type,bosal,walker,ets
AP10000X,01.001,18.93,Nachschalld.,278-013,05071,
AP10001X,01.002,17.93,Vorschalld.,285-067,05079,
AP10002X,01.003,4.69,Kollektorrohr,777-001,05077,
AP10003X,01.004,18.53,Nachschalld.,175-345,70268 / 05268,
AP10004X,01.005,5.87,Kollektorrohr,829-001,05078,
AP10005X,01.008,19.24,Nachschalld.,175-347,13189,
AP10006X,01.009,19.14,Nachschalld.,278-189,05425,
AP10007X,01.010,15.95,Vorschalld.,175-169=175-185,12665 / 13190,
AP10008X,01.011,16.1,Vorschalld.,175-123,14097,
AP10009X,01.012,15.72,Vorschalld.,175-117=175-135,14094,
AP10010X,01.013,15.7,Vorschalld.,175-135,14094,
AP10011X,01.014,15.66,Vorschalld.,175-241,13188,
AP10012X,01.015,20.84,Nachschalld.,278-179,13202,
AP10013X,01.017,11.62,Kollektorrohr,883-135,05266,
AP10014X,01.018,11.88,Kollektorrohr,884-163,05423,
AP10015X,01.019,15.94,Vorschalld.,175-163,05424,
AP10016X,01.020,18.47,Nachschalld.,279-349,70266,
AP10017X,01.021,21.79,Nachschalld.,289-023,73321,
AP10018X,01.023,15.9,Vorschalld.,175-185,12665 / 13190,
AP10019X,01.024,23.84,Nachschalld.,282-333,15304,
AP10020X,01.027,10.75,Vorschalld.,282-167,13192,
AP10021X,01.030,17.26,Nachschalld.,175-299,71162,
AP10022X,01.046,16.21,Vorschalld.,175-397,19518,
AP10023X,01.048,28.09,Nachschalld.,287-087,71164,
AP10024X,01.049,20.15,Nachschalld.,279-335,16035,
AP10025X,01.050,20.13,Nachschalld.,278-195,13197,
AP10026X,01.051,20.8,Nachschalld.,282-061,72143,943
AP10027X,01.052,20.4,Nachschalld.,278-397,19519,933
AP10028X,01.053,20.03,Nachschalld.,278-433 / 175-349,19502 / 71128,929
AP10029X,01.054,44.91,Nachschalld.,288-475,-,939
AP10030X,01.055,25.68,Vorschalld.,291-439,23273 / 23364 / 23365,-
AP10031X,01.056,9.04,Endroht,291-429,23364,-
AP10032X,01.057,25.68,Vorschalld.,175-017,-,-
AP10033X,01.058,17.26,Nachschalld.,279-429,-,-
AP10034X,01.059,20.43,Vorschalld.,175-429,23091,2852
AP10035X,01.060,11.04,Endrohr,810-429,10485,
AP10036X,01.061,20.43,Vorschalld.,175-051,-,
AP10037X,01.062,11.34,Endrohr,-,-,
AP10038X,01.063,25.68,Vorschalld.,-,-,
AP10039X,01.064,9.62,Endrohr,-,-,
AP10040X,01.065,25.68,Vorschalld.,175- 013,23124,
AP10041X,01.066,17.88,Nachschalld.,281-313,-,
AP10042X,01.067,20.43,Vorschalld.,175-003,23119,
AP10043X,01.068,11.76,Endrohr,850-019,-,2851
AP10044X,01.069,20.43,Vorschalld.,175-001,23120,2850
AP10045X,01.070,11.82,Endrohr,-,-,
AP10046X,01.071,55.58,Nachschalld.,-,-,
AP10047X,01.072,55.58,Nachschalld.,-,-,
AP10048X,01.073,55.58,Nachschalld.,-,-,
AP10049X,01.074,55.58,Nachschalld.,-,-,
AP10050X,01.078,27.49,Mittelschalldämpfer,284-431,23257,2667
AP10051X,01.079,5.39,Endrohr,750-429,10420,2672
AP10052X,01.080,6.26,Endrohr,770-431,10419,2737
AP10053X,01.081,28.22,Mittelschalldämpfer,287-433,23256,
AP11000X,02.001,16.81,Nachschalld.,176-401,05149,
AP11001X,02.002,4.26,Endrohr,377-403,05150,
AP11002X,02.003,8.56,Kollektorrohr,877-403,05147,
AP11003X,02.004,17.58,Vorschalld.,176-479,14113,
AP11004X,02.005,16.16,Nachschalld.,176-421,13502 / 14122,
AP11005X,02.006,3.62,Endrohr,380-155,14115,
AP11006X,02.007,14.73,Vorschalld.,175-367,18801,
AP11007X,02.008,8.77,Kollektorrohr,736-159,14112,
AP11008X,02.009,9.91,Kollektorrohr,840-159,18800,
AP11009X,02.010,14.27,Vorschalld.,281-153,13501,
AP11010X,02.012,5.42,Kollektorrohr,-,05371,
AP11011X,02.013,14.85,Vorschalld.,281-407,14110,
AP11012X,02.014,9.28,Kollektorrohr,840-161,17650,
AP11013X,02.015,2.44,Vorderrohr.,768-391,17651,
AP11014X,02.016,16.16,Nachschalld.,176-421,13502,
AP11015X,02.017,19.94,Vorschalld.,284-369,70288,
AP11016X,02.018,5.69,Endrohr,438-369,14133,
AP11017X,02.019,6.15,Endrohr,439-369,14134,
AP11018X,02.021,5.49,Endrohr,451-359,02764,
AP11019X,02.022,7.07,Endrohr,516-359,02765,
AP11020X,02.023,8,Kollektorrohr,317-871,02773,
AP11021X,02.025,6.27,Endrohr,451-361,02766,
AP11022X,02.026,7.82,Endrohr,516-153,02767,
AP11023X,02.027,9.86,Endrohr,665-369,02768,
AP11024X,02.028,11.66,Endrohr,516-151,02769,
AP11025X,02.029,7.08,Endrohr,521-771,02770,
AP11026X,02.030,10.02,Endrohr,665-367,02771,
AP11027X,02.032,11.6,Endrohr,665-365 / 667-375,02794,
AP11028X,02.033,3.71,Vorderrohr.,768-391,17651,
AP11029X,02.034,9.46,Kollektorrohr,840-161,17650,
AP11030X,02.035,29.33,Nachschalld.,291-125,21383,930
AP11031X,02.036,26.11,Nachschalld.,291-121,22231,930
AP11032X,02.037,28.73,Nachschalld.,292-021,22614,930
AP11033X,02.038,8.44,Endrohr,521-153 / 531-163,02772 / 08868,
AP11034X,02.041,6.64,Endrohr,461-371,02766,
AP11035X,02.042,8.63,Endrohr,517-163,02767,
AP11036X,02.043,21.59,Nachschalld.,175-413 / 175-415+700-021,-,
AP11037X,02.044,21.41,Nachschalld.,175-413 /175-415,22879,
AP11038X,02.045,25.48,Nachschalld.,288-231 / 288-139+700-021,-,
AP11039X,02.046,25.14,Nachschalld.,288-231 / 288-139,-,
AP11040X,02.047,20.7,reparatur,175-421,-,
AP11041X,02.048,25.66,Nachschalld.,294-217,21957,
AP11042X,02.049,34.49,Nachschalld.,293-209,21958,
AP11043X,02.050,21.25,reparatur,175-209,-,
AP11044X,02.051,15.39,Vorderrohr,800-003,0,
AP12000X,03.001,18.8,Nachschalld.,282-205,04559,
AP12001X,03.002,13.11,Vorschalld.,233-243,04631,
AP12002X,03.003,13.23,Vorschalld.,233-233,04634,
AP12003X,03.004,17.69,Nachschalld.,286-245,04629,
AP12004X,03.005,18.15,Nachschalld.,282-305,04764,
AP12005X,03.006,18.09,Nachschalld.,285-307,04792,
AP12006X,03.007,9.86,Vorschalld.,233-303,04763,
AP12007X,03.008,15.81,Nachschalld.,233-409,08347,
AP12008X,03.009,19.41,Nachschalld.,279-411,13345,
AP12009X,03.010,11.18,Mittlerer Sch.,233-407,14660,
AP12010X,03.011,15.99,Nachschalld.,233-377,08349,
AP12011X,03.012,16.3,Nachschalld.,279-385,08334,
AP12012X,03.013,11.62,Mittlerer Sch.,233-361,08314,
AP12013X,03.014,4.11,Kollektorrohr,784-303,04769,
AP12014X,03.015,20.84,Nachschalld.,282-313,16047 / 08311,
AP12015X,03.016,9.34,Vorschalld.,233-309,14442 / 08310,
AP12016X,03.017,4.37,Kollektorrohr,783-309,08308,
AP12017X,03.018,4.42,Kollektorrohr,783-303,04766,
AP12018X,03.019,4.51,Kollektorrohr,784-309,08348,
AP12019X,03.020,4.44,Kollektorrohr,785-309,12994,
AP12020X,03.021,2.19,Mittelrohr,786-407,08345,
AP12021X,03.022,3.82,Mittelrohr,830-205,04628,
AP12022X,03.023,2.77,Kollektorrohr,785-407,08344,
AP12023X,03.024,5.98,Vorderrohr.,733-303,04762,
AP12024X,03.025,9.28,Vorschalld.,233-423,14408,
AP12025X,03.026,10.73,Mittlerer Sch.,233-421,70604,
AP12026X,03.027,18.19,Nachschalld.,233-563,18186,
AP12027X,03.028,15.79,Nachschalld.,233-379,70601,
AP12028X,03.029,18.09,Nachschalld.,233-381,08330,
AP12029X,03.030,13.02,Nachschalld.,233-735,70615,
AP12030X,03.031,16.78,Nachschalld.,281-703,16062,
AP12031X,03.032,18.49,Nachschalld.,233-229,19759,
AP12032X,03.033,2.17,Mittelrohr,787-459,14405,
AP12033X,03.034,16.61,Nachschalld.,285-685,17053,
AP12034X,03.035,16.53,Nachschalld.,233-733,17056,
AP12035X,03.036,10.66,Vorschalld.,233-693,17042,
AP12036X,03.037,14.94,Vorschalld.,233-689,17046,
AP12037X,03.038,13.01,Kollektorrohr,753-177,21573,
AP12038X,03.039,12.83,Kollektorrohr,753-175,02753,
AP12039X,03.040,9.46,Vorschalld.,233-701,19671,
AP12040X,03.041,16.85,Nachschalld.,285-901,19980,
AP12041X,03.042,4.37,Kollektorrohr,787-449,15867,
AP12042X,03.043,15.57,Nachschalld.,282-683,18926,
AP12043X,03.044,13.28,Nachschalld.,233-735,70615,2092
AP12044X,03.045,2.32,Mittelrohr,787-461,21426,
AP12045X,03.046,15.64,Nachschalld.,282-373,18926,
AP12046X,03.047,14.85,Nachschalld.,233-761,19597,
AP12047X,03.048,10.67,Vorschalld.,233-561,19596,
AP12048X,03.049,13.82,Nachschalld.,233-325,70583,1920
AP12049X,03.050,10.95,Vorschalld.,233-323,70582,1919
AP12050X,03.051,16.27,Nachschalld.,285-703,18929,
AP12051X,03.052,16.84,Nachschalld.,233-715,19553,2088
AP12052X,03.053,14.82,Vorschalld.,233-703 / 233-245,19756,
AP12053X,03.054,12.34,Vorschalld.,233-687,17042,1985
AP12054X,03.055,14.92,Vorschalld.,233-713,17046,1897
AP12055X,03.056,20.77,Nachschalld.,278-145,22430,
AP12056X,03.057,16.82,Nachschalld.,279-419,19554,
AP12057X,03.059,10.57,Vorschalld.,233-491,14450,
AP12058X,03.060,17.5,Nachschalld.,279-461,19680,
AP12059X,03.061,14.59,Nachschalld.,281-377,21947,
AP12060X,03.062,4.37,Mittelrohr,824-205,04563,
AP12061X,03.063,4.34,Kollektorrohr,786-397,13505,
AP12062X,03.064,4.22,Mittelrohr,753-277,21580,1780
AP12063X,03.065,15.01,Nachschalld.,233-777,-,
AP12064X,03.066,1.96,Mittelrohr,787-761,19672,
AP12065X,03.067,20.52,Nachschalld.,278-145,21569,
AP12066X,03.068,9.8,Vorschalld.,233-553,13590,
AP12067X,03.069,17.02,Kollektorrohr,753-297,-,
AP12068X,03.070,12.42,Vorschalld.,233-861,19596,
AP12069X,03.071,18.06,Nachschalld.,279-399,22053,1967
AP12070X,03.073,19.6,Nachschalld.,233-779,19677,
AP12071X,03.074,13.37,Nachschalld.,278-573,22029,
AP12072X,03.075,11.83,Vorschalld.,281-233,21430,
AP12073X,03.076,11.39,Vorschalld.,105-111,21576,14
AP12074X,03.082,9.5,Vorschalld.,233-373,21425,
AP12075X,03.083,13.02,Vorschalld.,279-119,22057,
AP12076X,03.084,17.51,Nachschalld.,227-105,22111,
AP12077X,03.089,22.98,Nachschalld.,279-111,22744,12
AP12078X,03.086,17.68,Nachschalld.,227-473,22124 / 23173,1742
AP12079X,03.087,11.93,Vorschalld.,227-471,22058,1741
AP12080X,03.090,21.63,Nachschalld.,279-107,23231,15
AP12081X,03.091,14.06,Nachschalld.,233-399,22248,
AP12082X,03.092,18.98,Nachschalld.,281-227,22006,1769
AP12083X,03.093,17.76,Nachschalld.,233-537,22110,
AP12084X,03.094,11.28,Vorschalld.,233-539 / 233-395,22150 / 22352,
AP12085X,03.095,14.82,Vorschalld.,278-315,22882,
AP12086X,03.096,20.81,Nachschalld.,233-087,22885,
AP12087X,03.097,19.19,Nachschalld.,154-317,21950,
AP12088X,03.098,24.01,Vorschalld.,288-507,22801,
AP12089X,03.099,14.86,Kollektorrohr,737-263,02955,
AP12090X,03.100,7.23,Vorderrohr.,800-001,08951,
AP12091X,03.101,22.34,Nachschalld.,233-089,22886,
AP13000X,04.001,16.11,Nachschalld.,105-861,04160,
AP13001X,04.002,11.64,Vorschalld.,278-891,04184,
AP13002X,04.003,18.07,Nachschalld.,105-913,04165,
AP13003X,04.004,20.55,Nachschalld.,105-881,04133,
AP13004X,04.005,19.06,Nachschalld.,233-261,04702,
AP13005X,04.006,5.65,Endrohr,429-861,04578,
AP13006X,04.007,3.71,Endrohr,427-913,04166,
AP13007X,04.008,2.88,Endrohr,435-913,08006,
AP13008X,04.009,6.43,Endrohr,472-853,04179,
AP13009X,04.010,13.55,Nachschalld.,233-269,04712,
AP13010X,04.011,6.04,Mittelrohr,831-269,04711,
AP13011X,04.012,15.99,Nachschalld.,233-279,70632,
AP13012X,04.013,14.11,Mittlerer Sch.,278-277,14421 /  70631,
AP13013X,04.014,4.2,Kollektorrohr,773-867,04158,
AP13014X,04.015,2.37,Endrohr,428-913,04167,
AP13015X,04.017,11.35,Vorschalld.,233-275,70629,
AP13016X,04.018,11.41,Vorschalld.,105-943,04265,
AP13017X,04.019,17.55,Mittlerer Sch.,283-015,13003,
AP13018X,04.020,16.3,Mittlerer Sch.,105-019,13005,
AP13019X,04.021,14.41,Nachschalld.,105-017,13379,
AP13020X,04.022,14.58,Nachschalld.,105-021,13380,
AP13021X,04.023,9.15,Vorschalld.,105-929,04252,
AP13022X,04.024,15.34,Mittlerer Sch.,105-931,04253,
AP13023X,04.025,13.16,Nachschalld.,105-933,04254,
AP13024X,04.026,15.55,Nachschalld.,282-391,16066,
AP13025X,04.027,16.53,Nachschalld.,285-393,70574,
AP13026X,04.028,10.7,Vorschalld.,233-389,17033,
AP13027X,04.029,15.51,Vorschalld.,233-397,13506,
AP13028X,04.032,12.35,Vorschalld.,233-267,-,
AP13029X,04.033,10.82,Vorschalld.,281-273,04186,
AP13030X,04.034,19.3,Nachschalld.,279-489,70637,
AP13031X,04.035,6.52,Mittelrohr,882-281,04787,
AP13032X,04.036,6.22,Kollektorrohr,832-931,04314,
AP13033X,04.037,2.68,Vorderrohr.,782-931,04315,
AP13034X,04.038,6.35,Kollektorrohr,831-943,04264,
AP13035X,04.039,11.55,Mittlerer Sch.,233-481,16082,
AP13036X,04.040,14.49,Nachschalld.,279-483,14428,
AP13037X,04.041,14.43,Mittlerer Sch.,233-487,70636,
AP13038X,04.042,15.07,Nachschalld.,233-281,04788,
AP13039X,04.043,3.91,Vorderrohr.,731-931,13347,
AP13040X,04.044,9.07,Vorschalld.,105-995,13002,
AP13041X,04.046,21.86,Nachschalld.,233-411,18220,
AP13042X,04.047,30.1,Nachschalld.,233-415,08321,
AP13043X,04.048,6.01,Endrohr,432-415,18225,
AP13044X,04.049,6.47,Endrohr,433-415,08322,
AP13045X,04.050,7.64,Kollektorrohr,731-261,13478,
AP13046X,04.051,3.98,Kollektorrohr,776-881,08342,
AP13047X,04.052,7.61,Kollektorrohr,775-859,04177,
AP13048X,04.053,23.95,Nachschalld.,283-017,17862,
AP13049X,04.054,13.63,Mittlerer Sch.,105-159,17861,
AP13050X,04.055,25.58,Nachschalld.,283-019,17862,
AP13051X,04.056,16,Nachschalld.,283-561,17034,
AP13052X,04.057,16.72,Nachschalld.,283-741,18257,1943
AP13053X,04.058,11.79,Vorschalld.,233-741,18252,1940
AP13054X,04.059,4.36,Kollektorrohr,753-737,18260,
AP13055X,04.060,15.79,Nachschalld.,283-925,18258,
AP13056X,04.061,16.82,Nachschalld.,283-921,19691,
AP13057X,04.062,15.9,Vorschalld.,281-747 / 281-891,19694 / 18269,1942
AP13058X,04.063,16.57,Nachschalld.,283-925,19692,
AP13059X,04.064,4.78,Vorderrohr.,843-737,18264,
AP13060X,04.065,1.15,Endrohr,330-269,04713,
AP13061X,04.066,12.83,Vorschalld.,233-113,22208,
AP13062X,04.067,8.26,Kollektorrohr,786-997,14192,
AP13063X,04.069,20.16,Nachschalld.,283-469,22092,1961
AP13064X,04.070,22.84,Nachschalld.,283-491,22091,1959
AP13065X,04.071,21.94,Nachschalld.,283-459,21478,2068
AP13066X,04.073,15.74,Vorschalld.,281-465 / 281-463,22205 / 21036,1964
AP13067X,04.074,15.95,Vorschalld.,281-475,22207,1960
AP13068X,04.075,19.22,Nachschalld.,280-781,17586,
AP13069X,04.076,19.58,Nachschalld.,233-115,21563,
AP13070X,04.077,19.68,Vorschalld.,282-733,21564,
AP13071X,04.078,19.19,Vorschalld.,282-703,22067,
AP13072X,04.079,2.56,Vorderrohr.,789-491,12652,
AP13073X,04.080,22.75,Nachschalld.,283-483,22206,
AP13074X,04.081,21.95,Nachschalld.,283-461,21291,
AP13075X,04.082,22.62,Nachschalld.,282-691,22204,
AP13076X,04.083,16.62,Nachschalld.,233-119,21562,
AP13077X,04.084,7.53,Vorderrohr.,801-155,02777,
AP13078X,04.085,14.97,Nachschalld.,233-117,22080,
AP13079X,04.089,17.76,Vorschalld.,288-229,22407,
AP13080X,04.090,20.99,Nachschalld.,279-347,22021,
AP13081X,04.091,7.89,Endrohr,521-773,02974,
AP13082X,04.093,19.47,Nachschalld.,233-601 / 233-071,22070 / 22079,
AP13083X,04.104,28.03,Nachschalld.,233-555,08326,
AP13084X,04.105,8.18,Kollektorrohr,730-207,03991,
AP13085X,04.106,5.95,Reparaturrohr,823-475,09971 / 09972 / 08233,
AP13086X,04.107,6.04,Reparaturrohr,823-475,09971 / 09972 / 08233,
AP13087X,04.108,19.13,Vorschalld.,233-575,23197,2815
AP13088X,04.109,26.08,Nachschalld.,286-489,23198,2913
AP13089X,04.110,21.76,Vorschalld.,233-577,23200,
AP13090X,04.111,24.83,Nachschalld.,286-477,23201,
AP14000X,05.008,13.58,Nachschalld.,185-999,70327,
AP14001X,05.009,13.62,Nachschalld.,185-009,07981,
AP14002X,05.010,14,Nachschalld.,185-021 / 185-395,70324,
AP14003X,05.014,13.44,Vorschalld.,281-023,70323,
AP14004X,05.015,13.48,Vorschalld.,281-013,08861,
AP14005X,05.016,14,Vorschalld.,282-011,08863,
AP14006X,05.017,4.66,Vorderrohr.,834-013,08865,
AP14007X,05.018,3.13,Vorderrohr.,734-013,08870,
AP14008X,05.029,14,Nachschalld.,185-921,07827,
AP14009X,05.030,13.92,Nachschalld.,185-923,07828,
AP14010X,05.031,16.5,Vorschalld.,281-069,13863,
AP14011X,05.032,3.94,Vorderrohr.,736-069,13862,
AP14012X,05.034,16.2,Nachschalld.,185-045,17367,
AP14013X,05.035,16.15,Nachschalld.,185-047,17366,
AP14014X,05.036,16.81,Vorschalld.,281-033,13087,
AP14015X,05.037,16.89,Vorschalld.,281-057,13088,
AP14016X,05.038,16.47,Vorschalld.,281-061,13092,
AP14017X,05.039,16.53,Vorschalld.,281-063,13093,
AP14018X,05.041,19.65,Vorschalld.,292-925,07854,
AP14019X,05.042,14.29,Vorschalld.,281-129,13647,
AP14020X,05.043,4.03,Vorderrohr.,736-067,13106,
AP14021X,05.044,14.05,Vorschalld.,280-067,13107,
AP14022X,05.046,4.42,Kollektorrohr,883-961,07892,
AP14023X,05.047,5.65,Kollektorrohr,882-961,07897,
AP14024X,05.048,10.24,Vorschalld.,278-961,16192,
AP14025X,05.049,11.12,Vorschalld.,279-109,16196,
AP14026X,05.050,15.24,Nachschalld.,185-965,70301,
AP14027X,05.051,15.01,Nachschalld.,185-223,16193,
AP14028X,05.052,15.11,Nachschalld.,185-963,70303,
AP14029X,05.053,4.51,Kollektorrohr,779-237,21555,
AP14030X,05.054,12.12,Kollektorrohr,802-437,21548,
AP14031X,05.055,16.71,Nachschalld.,283-447,19953,
AP14032X,05.056,16.41,Nachschalld.,185-627,22936,
AP14033X,05.060,15.13,Nachschalld.,185-137,14531,
AP14034X,05.061,15.28,Nachschalld.,185-135,14532,
AP14035X,05.062,15.94,Vorschalld.,283-149,14560,
AP14036X,05.063,16.66,Vorschalld.,287-133,14530,
AP14037X,05.064,15.4,Vorschalld.,281-159,14535,
AP14038X,05.065,4.32,Vorderrohr.,738-149,14559,
AP14039X,05.066,15.25,Nachschalld.,185-141,70347,
AP14040X,05.067,15.55,Vorschalld.,281-145,70349,
AP14041X,05.068,15.24,Nachschalld.,185-143,14547,
AP14042X,05.069,15.8,Nachschalld.,185-999,70338,1192
AP14043X,05.070,15.51,Vorschalld.,282-309,19955,1273
