reference_number,asmeth,price,product_type,bosal,walker,ets
AP25006X,16.011,28.58,Vorsch.+Nachsch.,282-277,16919,
AP25007X,16.014,14.11,Vorschalld.,148-255,22486,
AP25008X,16.015,19.88,Nachschalld.,290-229,70108,
AP25009X,16.016,3.66,Reparaturrohr,-,-,
AP25010X,16.017,16.81,Vorschalld.,284-357,22592,
AP25011X,16.018,6.81,Vorschalld.,148-337,17751,287
AP25012X,16.019,16.87,Nachschalld.,280-327,17752,288
AP25013X,16.020,25.93,Vorsch.+Nachsch.,287-871,19023,
AP25014X,16.021,7.65,Vorderrohr.,825-219 / 825-325,17757,
AP25015X,16.022,17.95,Nachschalld.,287-145 / 287-149,22090 / 22086,326
AP25016X,16.023,10.94,Vorschalld.,148-033,21040,381
AP25017X,16.024,14.43,Nachschalld.,280-215,21041,385
AP25018X,16.025,30.2,Vorsch.+Nachsch.,286-239,21043,
AP25019X,16.026,29.75,Vorsch.+Nachsch.,287-869,19023,
AP25020X,16.027,10.17,Kollektorrohr,935-007,09571,
AP25021X,16.028,18.65,Nachschalld.,283-263,19113,
AP25022X,16.029,15.26,Kollektorrohr,836-285,08999,
AP25023X,16.030,33.49,Vorsch.+Nachsch.,148-325 + 278-387,70109,
AP25024X,16.031,5.9,Kollektorrohr,883-927,09017,
AP25025X,16.034,12.82,Vorschalld.,279-405,22125,
AP25026X,16.035,4.9,Kollektorrohr,733-465,13499,
AP25027X,16.036,36.2,Vorsch.+Nachsch.,288-265,21045,
AP25028X,16.037,25.55,Nachschalld.,148-223,22541,
AP25029X,16.038,19.55,Nachschalld.,148-347 / 148-345,21497 / 21496,
AP25030X,16.039,11.94,Kollektorrohr,713-251,06844,373
AP25031X,16.040,8.66,Kollektorrohr,788-141,13705,
AP25032X,16.041,29.75,Vorsch.+Nachsch.,287-541,21928 + 21880 + 21929,
AP25033X,16.042,5.12,Vorderrohr.,789-247,16918,
AP25034X,16.043,20.02,Nachschalld.,148-309,21398,390
AP25035X,16.044,26.32,Nachschalld.,279-331,-,
AP25036X,16.045,33.19,Vorsch.+Nachsch.,292-305,22456,
AP25037X,16.046,15.07,Vorschalld.,281-803,-,
AP25038X,16.047,17.18,Nachschalld.,-,-,
AP25039X,16.048,19.31,Nachschalld.,287-149,22086,335
AP25040X,16.050,21.07,Vorschalld.,286-325,21399,
AP25041X,16.058,9.59,Vorderrohr.,952-141,07648,407
AP25042X,16.059,15.66,Nachschalld.,148-193,22693,408
AP25043X,16.060,10.6,Vorderrohr.,956-101,07143,399
AP25044X,16.061,18.07,Nachschalld.,148-341,21484,
AP25045X,16.062,11.47,Vorderrohr.,945-379,06838,
AP25046X,16.063,11.49,Kollektorrohr,753-835,06845,377
AP25047X,16.064,25.37,Vorschalld.,290-305,21499,
AP25048X,16.065,17.32,Nachschalld.,148-339,22511,404
AP25049X,16.066,18.01,Nachschalld.,148-343,22512,
AP25050X,16.067,5.64,Vorderrohr.,975-381,07568,416
AP25051X,16.068,5.19,Reparaturrohr,889-713,08969,
AP25052X,16.069,3.58,Reparaturrohr,-,-,
AP25053X,16.070,7.98,Vorderrohr.,740-383,22555,414
AP25054X,16.072,14.63,Nachschalld.,148-355,22725,410
AP25055X,16.071,11.04,Vorschalld.,286-201,22694,409
AP25056X,16.073,7.81,Vorderrohr.,286-201,22694,
AP25057X,16.074,18.9,Nachschalld.,287-199,22933,405
AP25058X,16.075,9.75,Vorderrohr.,740-003,08970,401
AP25059X,16.076,34.49,Vorschalld.+ Nachsch.,292-117,22838,
AP25060X,16.077,19.17,Kollektorrohr,835-343,07643,
AP25061X,16.078,9.9,Vorderrohr.,-,08971,
AP25062X,16.079,18.83,Nachschalld.,148-195,22748,
AP25063X,16.080,19.29,Nachschalld.,148-045,21379,
AP25064X,16.081,19.26,Nachschalld.,148 /049 / 148-359,21298,
AP26000X,18.001,19.27,Nachschalld.,235-899,12018,
AP26001X,18.002,13.19,Vorschalld.,235-909,06674,
AP26002X,18.003,3.69,Mittelrohr,787-047,06675,
AP26003X,18.004,2.5,Endrohr,376-899,06645,
AP26004X,18.006,26.65,Nachschalld.,235-217,21780,2108
AP26005X,18.008,22.49,Nachschalld.,235-215,22577,2107
AP26006X,18.009,24,Vorsch. + Mittlerer Sch.,282-409,21778,
AP26007X,18.010,23.75,Nachschalld.,235-203,16815,
AP26008X,18.014,21.47,Nachschalld.,235-003 / 235-007,13365 / 14505,
AP26009X,18.015,17.11,Nachschalld.,235-021 / 235-009,14494,
AP26010X,18.016,2.54,Vorderrohr.,284-261,19701,
AP26011X,18.017,2.5,Mittelrohr,733-945,08156,
AP26012X,18.020,10.86,Kollektorrohr,834-941,08191,
AP26013X,18.021,12.66,Kollektorrohr,925-909,08173,
AP26014X,18.022,2.59,Mittelrohr,738-025,13364,
AP26015X,18.023,1.97,Endrohr,386-003,13366,
AP26016X,18.025,0.92,Endrohr,328-203,17465,
AP26017X,18.026,1.18,Endrohr,328-185,21446 / 19707,
AP26018X,18.027,19.33,Nachschalld.,235-931 / 235-935,21442 / 19716,
AP26019X,18.028,2.85,Mittelrohr,283-931,21441,
AP26020X,18.029,1.15,Endrohr,328-181,19703 / 21445,
AP26021X,18.030,15.59,Vorsch.+ Mittlerer Sch.,283-931,21441,
AP26022X,18.031,2.36,Mittelrohr,283-261,19701 / 13389,
AP26023X,18.032,8.58,Vorschalld.,284-261 / 283-087,19701 / 13389,
AP26024X,18.033,4.32,Vorderrohr.,283-087,15188,
AP26025X,18.034,1.85,Endrohr,383-945,08158 / 14512,
AP26026X,18.036,14.05,Vorschalld.,235-017,12773,
AP26027X,18.037,5.72,Endrohr,750-171,09247,
AP27000X,19.001,18.2,Nachschalld.,283-003,13265,
AP27001X,19.002,12.89,Vorschalld.,278-021,70516,
AP27002X,19.003,13.23,Vorschalld.,278-061,15167,
AP27003X,19.004,21.01,Nachschalld.,283-073,70503,
AP27004X,19.005,9.13,Kollektorrohr,786-021,13266,
AP27005X,19.006,16.79,Nachschalld.,279-407,16988,
AP27006X,19.007,16.4,Nachschalld.,281-699,17003 / 70525,
AP27007X,19.008,13.85,Vorschalld.,279-491,21909,
AP27008X,19.009,12.6,Vorschalld.,279-695,70524,
AP27009X,19.010,11.06,Vorschalld.,227-461,70504,1714
AP27010X,19.011,16.1,Nachschalld.,282-465,70510,
AP27011X,19.012,11.49,Vorschalld.,227-463,70508,
AP27012X,19.013,23.53,Nachschalld.,282-463,19633,
AP27013X,19.014,13.98,Nachschalld.,278-461,70505,1723
AP27014X,19.015,23.44,Nachschalld.,281-373,21925,
AP27015X,19.016,25.27,Nachschalld.,282-643,21923,
AP27016X,19.017,14.18,Nachschalld.,279-117,21980,
AP27017X,19.018,22.89,Nachschalld.,278-463,70513,
AP27018X,19.019,21.17,Nachschalld.,278-069,70529,
AP27019X,19.021,13.01,Nachschalld.,278-101,22500,
AP27020X,19.022,21.26,Nachschalld.,282-827,21904,
AP27021X,19.023,14.21,Nachschalld.,282-471,21926,
AP27022X,19.024,22.77,Nachschalld.,278-853 / 278-887,21924 / 22484,
AP27023X,19.025,11.24,Vorschalld.,233-603,22060,1739
AP27024X,19.026,15.18,Nachschalld.,233-607,22059,1740
AP27025X,19.027,19.87,Nachschalld.,283-513,22470,
AP27026X,19.028,10.87,Vorschalld.,227-469 / 227-103,21927,
AP27027X,19.031,21.77,Nachschalld.,281-227,22557,
AP27028X,19.033,19.61,Vorschalld.,288-305,22721,
AP27029X,19.034,10.64,Vorschalld.,227-617,21979,
AP28000X,20.004,23.03,Nachschalld.,280-209,18587,
AP28001X,20.005,22.4,Nachschalld.,228-127 / 228-233,14329 / 16695,
AP28002X,20.006,14.49,Vorschalld.,228-209,18587,
AP28003X,20.009,20.04,Nachschalld.,228-889,13306,
AP28004X,20.010,19.15,Nachschalld.,228-891,15673 / 13307,
AP28005X,20.011,18.65,Vorschalld.,287-909,13321,
AP28006X,20.012,22.79,Nachschalld.,228-897,16793 / 13322 / 16713,
AP28007X,20.013,14.23,Vorschalld.,287-893,13305,
AP28008X,20.015,19.78,Nachschalld.,228-443,18569,
AP28009X,20.016,21.69,Nachschalld.,228-895,13318 / 18578,
AP28010X,20.017,19.08,Nachschalld.,228-427,18570,
AP28011X,20.018,16.45,Nachschalld.,287-165,18572,
AP28012X,20.019,22.67,Nachschalld.,282-085 / 282-083 / 282-087,21871 / 21901 / 21902,
AP28013X,20.022,15.33,Vorschalld.,228-625,21871,
AP28014X,20.023,22,Nachschalld.,280-909,22159,
AP28015X,20.025,22.21,Nachschalld.,288-329,22023,
AP28016X,20.027,17.76,Vorschalld.,279-181,22749,2338
AP28017X,20.028,13.81,Vorschalld.,228-217,22158,
AP28018X,20.029,15.89,Nachschalld.,228-043,22151,
AP28019X,20.030,16.64,Nachschalld.,228-041 / 228-471,22167,1847
AP28020X,20.031,22.02,Nachschalld.,286-319,22024,
AP28021X,20.032,8.96,Vorschalld.,228-253,22017,
AP28022X,20.033,14.41,Kollektorrohr,823-321,02980,
AP28023X,20.034,11.53,Vorderrohr,952-157,09931 / 09946,2589
AP28024X,20.035,16.47,Nachschalld.,135-721,23092,2534
AP28025X,20.038,14.49,Vorschalld.,279-177,22711,
AP29000X,21.001,15.25,Nachschalld.,220-649,15175,
AP29001X,21.002,16.7,Vorschalld.,282-651,15174,
AP29002X,21.003,15.84,Nachschalld.,278-751,18152,
AP29003X,21.004,11.26,Vorschalld.,220-107,71333,
AP29004X,21.006,17.31,Vorschalld.,282-755,21486,
AP29005X,21.007,16.65,Nachschalld.,220-651,15175,
AP29006X,21.008,16.35,Nachschalld.,281-097,21340,
AP29007X,21.009,11.27,Vorschalld.,105-109,21575,1955
AP29008X,21.010,21.07,Nachschalld.,281-535 = 281-227,21793,
AP29009X,21.011,14.43,Vorschalld.,281-371,21341,
AP29010X,21.012,15.73,Nachschalld.,220-653,21342,
AP29011X,21.013,10.27,Vorschalld.,220-663,21874,
AP29012X,21.014,18.54,Nachschalld.,281-533,21875,
AP29013X,21.015,12.2,Vorschalld.,220-039,71337 / 71340,
AP29014X,21.016,17.39,Nachschalld.,278-039 / 278-063 / 279-757,71100 / 71340,
AP29015X,21.017,16.38,Vorschalld.,282-763,22525,
AP29016X,21.018,12.89,Vorschalld.,281-681,21863,
AP29017X,21.022,18.07,Nachschalld.,278-231 / 278-083,71102 / 71103,
AP29018X,21.023,17.39,Nachschalld.,278-063 / 279-757,71340,
AP29019X,21.024,17.84,Nachschalld.,278-107 / 233-333,72539 / 71332,
AP29020X,21.025,17.58,Nachschalld.,278-083,71103,
AP29021X,21.026,22.4,Nachschalld.,281-531,23940,
AP29022X,21.027,23.77,Nachschalld.,282-985,22977,
AP29023X,21.028,18.17,Nachschalld.,278-033 / 278-531,23208 / 23324,
AP29024X,21.029,16.78,Nachschalld.,233-635,71342,1790
AP29025X,21.030,11.68,Vorschalld.,233-633,71341,1789
AP29026X,21.031,17.38,Nachschalld.,278-233,-,
AP29027X,21.032,16.94,Vorderrohr.,823-635,07100,
AP29028X,21.033,5.81,Vorderrohr,801-181,07004,
AP30000X,22.001,15.51,Vorschalld.,292-685,13035,
AP30001X,22.002,14.88,Nachschalld.,142-725,13036,
AP30002X,22.004,18.34,Nachschalld.,142-699,15721,
AP30003X,22.005,12.05,Mittelrohr,890-697,15720,
AP30004X,22.006,27.75,Vorsch. + Mittlerer Sch.,292-235,22547,
AP30005X,22.007,6.6,Endrohr,351-217,07571,2829
AP30006X,22.008,29.25,Vorsch. + Mittlerer Sch.,292-217,22860+22861,2828
AP30007X,22.009,28.68,Vorsch. + Mittlerer Sch.,293-159,08237+22848,
AP30008X,22.010,6.09,Endrohr,751-383,08140,
AP31000X,23.002,4.12,Vorderrohr.,736-761,14273,
AP31001X,23.003,4.21,Vorderrohr.,731-721,12217,
AP31002X,23.004,10.95,Nachschalld.,279-765,12406,
AP31003X,23.005,17.5,Mittlerer Sch.,215-761,08445,
AP31004X,23.006,17.92,Nachschalld.,215-805,15152,
AP31005X,23.007,23.6,Mittlerer Sch.,285-811,15156,
AP31006X,23.008,4.2,Vorderrohr.,-,16632,
AP31007X,23.009,11.05,Kollektorrohr,-,19625,
AP31008X,23.010,10.71,Kollektorrohr,-,19626,
AP31009X,23.011,13.16,Kollektorrohr,-,15747,
AP31010X,23.012,17.66,Nachschalld.,215-801,15154,
AP31011X,23.016,19.51,Nachschalld.,215-829,18853 / 22146 / 22988,2495
AP32000X,24.003,18.32,Nachschalld.,-,21114,
AP32001X,24.004,9.51,Mittlerer Sch.,-,21108,
AP32002X,24.005,11.35,Vorschalld.,-,-,
AP32003X,24.011,15.93,Nachschalld.,141-003,21119,
AP32004X,24.012,16.56,Nachschalld.,141-005,21101,
AP32005X,24.013,15.42,Vorschalld.,282-793,21100,
AP32006X,24.014,16.22,Nachschalld.,141-001,21104,
AP32007X,24.015,15.63,Vorschalld.,283-797,21103,
AP32008X,24.016,17.04,Nachschalld.,283-493,21106,
AP32009X,24.017,16.57,Nachschalld.,-,21508,
AP32010X,24.018,18.3,Nachschalld.,-,21115,
AP32011X,24.020,20.83,Nachschalld.,278-875,22012,
AP32012X,24.021,3.63,Kollektorrohr,-,21507,
AP32013X,24.022,5.82,Vorderrohr.,-,21113,
AP32014X,24.023,20.49,Nachschalld.,141-195,22013,
AP32015X,24.025,18.55,Vorschalld.,282-999,22011,
AP32016X,24.026,17.41,Nachschalld.,141-199,22177,
AP32017X,24.027,19.22,Nachschalld.,141-143,22178,
AP32018X,24.028,17.54,Nachschalld.,141-197,22177,
AP32019X,24.029,17.32,Vorschalld.,283-529,22063,
AP32020X,24.030,19.06,Nachschalld.,141-143,22178,
AP32021X,24.031,20.44,Vorschalld.,284-131,03147,
AP32022X,24.032,24.91,Nachschalld.,141-137,22084,
AP32023X,24.034,18.6,Nachschalld.,141-139,22176,
AP32024X,24.035,19.88,Nachschalld.,141-193,22179,
AP32025X,24.036,10.51,Vorschalld.,281-945,22071,244
AP32026X,24.037,19.06,Vorschalld.,283-143,22062,
AP32027X,24.038,9.32,Kollektorrohr,823-941,21500,
AP32028X,24.039,19.37,Kollektorrohr,823-935,21501,
AP32029X,24.040,14.42,Kollektorrohr,823-869,02967 / 02968,
AP32030X,24.041,14.33,Kollektorrohr,853-081,21502,
AP32031X,24.042,18.24,Kollektorrohr,823-869,02967 / 02968,
AP32032X,24.043,10.4,Vorschalld.,281-485,21503,
AP32033X,24.044,4.53,Mittelrohr,-,21111,
AP32034X,24.045,4.66,Mittelrohr,-,21511,
AP32035X,24.046,7.12,Mittelrohr,-,21510,
AP32036X,24.047,5.68,Mittelrohr,-,21509,
AP32037X,24.048,18.75,Vorschalld.,283-333,21296,
AP32038X,24.049,22.3,Nachschalld.,141-213,21412,
AP32039X,24.050,14.32,Kollektorrohr,825-173,03146,
AP32040X,24.051,15.4,Kollektorrohr,823-871,03125,
AP32041X,24.052,44.53,Kollektorrohr,099-257,20700,
AP32042X,24.053,22.6,Nachschalld.,-,-,
AP32043X,24.054,10.44,Vorschalld.,-,21105,
AP32044X,24.055,24.97,Nachschalld.,-,-,
AP32045X,24.056,7,Kollektorrohr,-,-,
AP32046X,24.057,6.35,Endrohr,-,-,
AP32047X,24.058,6.9,Kollektorrohr,-,-,
AP32048X,24.059,6.19,Endrohr,-,-,
AP32049X,24.060,14.49,Kollektorrohr,823-263,-,
AP32050X,24.061,22.54,Nachschalld.,-,21413,
AP32051X,24.062,14.49,Kollektorrohr,823-865,03124,
AP32052X,24.063,19.55,Vorschalld.,-,21295,
AP32053X,24.064,22.23,Nachschalld.,-,-,
AP32054X,24.065,19.79,Nachschalld.,281-385,22718,253
AP32055X,24.066,12.2,Vorschalld.,141-385,22717,252
AP32056X,24.068,21.82,Nachschalld.,-,21411,
AP32057X,24.080,19.8,Nachschalld.,141-007,22072,245
AP33000X,25.001,22.33,Nachschalld.,283-057,13287,
AP33001X,25.002,19.51,Vorschalld.,281-059,13286,
AP33002X,25.003,18.14,Nachschalld.,219-093,16670,1808
AP33003X,25.004,12.02,Vorschalld.,285-111,16675 / 16669,1800
AP33004X,25.005,9.49,Vorschalld.,287-101,16666 / 16672,1798
AP33005X,25.006,33.58,Mittlerer Sch.+Nachschalld.,286-059,21457,
AP33006X,25.007,9.69,Vorschalld.,288-091,16673 / 16667,1807
AP33007X,25.008,17.16,Nachschalld.,219-135,21894,
AP33008X,25.010,10.18,Vorschalld.,283-705,21894,
AP33009X,25.012,18.32,Nachschalld.,288-091 / 287-101,16666 / 16672 / 16673 / 16667,1806
AP34000X,26.002,23.4,Nachschalld.,177-743,22570 / 21363,
AP34001X,26.003,24.42,Nachschalld.,177-113,14147,
AP34002X,26.004,23.15,Nachschalld.,177-681,17891,
AP34003X,26.005,12.46,Vorderrohr.,940-681,17890,
AP34004X,26.006,19.04,Vorschalld.,285-271,22745,
AP34005X,26.007,17.65,Vorschalld.,282-743 / 282-741,21360 / 21362 /  21781,1013
AP34006X,26.008,23.44,Nachschalld.,177-157,19801,
AP34007X,26.009,21.07,Vorschalld.,283-111,15689,
AP34008X,26.010,25.4,Nachschalld.,177-105,22741,
AP34009X,26.011,18.17,Vorschalld.,283-153,22737,
AP34010X,26.012,24.53,Vorsch. + Mittlerer Sch.,285-303,21437,
AP34011X,26.013,26.37,Nachschalld.,177-243,21438,
AP34012X,26.014,17.73,Vorschalldämpfer,285-273,21365,
AP34013X,26.015,22.13,Nachschalldaempfer,177-275,17888,
AP35000X,27.001,19.46,Nachschalld.,287-183,-,
AP35001X,27.006,26.04,Vorschalld.+ Nachsch.,286-145 / 286-147,22453,
AP35002X,27.007,24.76,Vorschalld.+ Nachsch.,286-143,22508,
AP36000X,28.001,13.42,Nachschalld.,171-469,15750,
AP36001X,28.002,13.73,Vorschalld.,284-009,15749,
AP36002X,28.003,16.1,Nachschalld.,169-015,22411,
AP36003X,28.004,11.4,Kollektorrohr,-,-,
AP36004X,28.005,12.27,Kollektorrohr,-,-,
AP36005X,28.006,22.37,Nachschalld.,-,-,
AP36006X,28.007,23.18,Nachschalld.,-,-,
AP36007X,28.008,6.03,Endrohr,-,-,
AP36008X,28.009,6.01,Endrohr,-,-,
AP36009X,28.010,16.54,Vorschalld.,291-127,22412,
AP36010X,28.011,19.12,Vorschalld.,286-061 / 286-103,23155,
AP36011X,28.012,19.85,Nachschalld.,169-025 / 169-103,23156,
AP36012X,28.013,16.29,Vorschalld.,-,-,
AP36013X,28.014,25.47,Nachschalld.,-,-,
AP36014X,28.015,26.12,Nachschalld.,-,-,
AP36015X,28.016,8.88,Reperaturrohr,-,-,
AP36016X,28.017,27.04,Nachschalld.,-,-,
AP36017X,28.018,27.88,Nachschalld.,-,-,
AP37000X,29.003,20.6,Nachschalld.,100-171,21396,2544
AP37001X,29.005,20.87,Nachschalld.,100-327,22119 / 22120,1133
AP37002X,29.006,6.53,Endrohr,813-309,03118,
AP37003X,29.007,14.49,Vorschalld.,284-109,-,
AP37004X,29.009,20.99,Nachschalld.,100-325 / 100-329,22121 / 22122,
AP37005X,29.010,43.87,Vorsch.+Nachsch.,292-121,21843+21845,
AP37006X,29.011,22.82,Nachschalld.,100-169,21397,2545
AP38000X,30.001,23.59,Nachschalld.,115-311,21251 / 22363,
AP38001X,30.002,14.27,Vorschalld.,281-215,21250,
AP38002X,30.009,19.51,Vorschalld.,287-431,21912,2262
AP38003X,30.010,21.46,Nachschalld.,211-393,21913,2261
AP38004X,30.011,18.83,Vorschalld.,286-071,22660,2522
AP38005X,30.012,13.9,Vorderrohr.,913-351,21914,
AP38006X,30.013,22.25,Nachschalld.,211-395,21915,
AP38007X,30.014,22.25,Nachschalld.,211-403,22664,
AP38008X,30.015,15.86,Vorschalld.,289-965,22341,
AP38009X,30.016,21.17,Nachschalld.,278-963,22342,
AP38010X,30.017,25.35,Vorschalld.+ Mittelschalld.,289-967,22344,
AP38011X,30.018,22.75,Nachschalld.,278-967,22345,
AP38012X,30.019,29.64,Nachschalld.,290-967,22343,
AP39000X,31.001,17.87,Nachschalld.,141-219,22818,
AP39001X,31.002,12.22,Vorschalld.,284-337,22819,
AP39002X,31.003,22.74,Nachschalld.,141-217,22818,
AP39003X,31.004,18.06,Kollektorrohr,801-217,08148,
